Institution,Requirements,Forms,Contact
Chase Bank,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Bank of America,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Wells Fargo,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Fidelity Investments,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Vanguard,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Charles Schwab,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Morgan Stanley,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Goldman Sachs,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
JP Morgan,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
Citibank,Complete trust certification form; Original or certified copy of trust document; Government-issued photo identification; Proof of trustee authority; Tax identification number (if applicable); Notarized signature of trustee,Certification of Trust Form; Trust Document Submission Form; Trustee Authority Verification Form,"{""phone"": ""1-800-TRUST-XX"", ""email"": ""trust@institution.com"", ""website"": ""https://institution.com/trust-services""}"
